bar,start,2017,id,band,lanenr,number
Wyman,1962,1993,Bass,The Rolling Stones,6,1
Wyman,2012,2012,Bass,The Rolling Stones,6,2
Watts,1963,2017,Drums,The Rolling Stones,7,1
Stewart,1962,1985,Key,The Rolling Stones,8,1
Bono,1976,2017,guitar,U2,0,1
Bono,1976,2017,voc,U2,0,2
The Edge,1976,2017,guitar,U2,1,1
The Edge,1976,2017,key,U2,1,2
Adam Clayton,1976,2017,bass,U2,2,1
Larry Mullen Jr,1976,2017,drums,U2,3,1
Dik Evans,1976,1978,guitar,U2,4,1
Ivan McCormick,1976,1977,guitar,U2,5,1
Adele,2011,2017,lvoc,Adele,0,1
Randy Owen,1969,2004,guitar,Alabama,0,1
Randy Owen,1969,2004,voc,Alabama,0,2
Randy Owen,2006,2007,guitar,Alabama,0,3
Randy Owen,2006,2007,voc,Alabama,0,4
Randy Owen,2011,2017,guitar,Alabama,0,5
Randy Owen,2011,2017,voc,Alabama,0,6
Teddy Gentry,1969,2004,bass,Alabama,1,1
Teddy Gentry,1969,2004,voc,Alabama,1,2
Teddy Gentry,2006,2007,bass,Alabama,1,3
Teddy Gentry,2006,2007,voc,Alabama,1,4
Teddy Gentry,2011,2017,bass,Alabama,1,5
Teddy Gentry,2011,2017,voc,Alabama,1,6
Jeff Cook,1969,2004,guitar,Alabama,2,1
Jeff Cook,1969,2004,key2,Alabama,2,2
Jeff Cook,2006,2007,guitar,Alabama,2,3
Jeff Cook,2006,2007,key2,Alabama,2,4
Jeff Cook,2011,2017,guitar,Alabama,2,5
Jeff Cook,2011,2017,key2,Alabama,2,6
Mark Herndon,1979,2004,drums,Alabama,3,1
Rick Scott,1974,1979,drums,Alabama,4,1
Benett Vartanian,1972,1974,drums,Alabama,5,1
Don Perkey,1975,1978,drums,Alabama,6,1
Jackie Owen,1969,1972,drums,Alabama,7,1
Aretha Franklin,1956,2017,lvoc,Aretha Franklin,0,1
A. J. McLean,1993,2017,lvoc,Backstreet Boys,0,1
Howie D.,1993,2017,lvoc,Backstreet Boys,1,1
Nick Carter,1993,2017,lvoc,Backstreet Boys,2,1
Brian Littrell,1993,2017,lvoc,Backstreet Boys,3,1
Kevin Richardson,1993,2006,lvoc,Backstreet Boys,4,1
Kevin Richardson,2012,2017,lvoc,Backstreet Boys,4,2
Barbra Streisand,1963,2017,lvoc,Barbra Streisand,0,1
Barry Manilow,1964,2017,lvoc,Barry Manilow,0,1
Beyonce,1997,2017,lvoc,Beyonce,0,1
Billy Joel,1965,2017,lvco,Billy Joel,0,1
Bob Dylan,1959,2017,guitar,Bob Dylan,0,1
Bob Dylan,1959,2017,voc,Bob Dylan,0,2
Bob Marley,1862,1981,guitar,Bob Marley,0,1
Bob Marley,1862,1981,voc,Bob Marley,0,2
Jon Bon Jovi,1983,2017,guitar,Bon Jovi,0,1
Jon Bon Jovi,1983,2017,voc,Bon Jovi,0,2
Dave Sabo,1983,1984,guitar,Bon Jovi,1,1
Richie Sambora,1994,2013,guitar,Bon Jovi,2,1
Richie Sambora,1994,2013,voc,Bon Jovi,2,2
Phil X,2013,2016,guitar,Bon Jovi,3,1
Phil X,2013,2016,voc,Bon Jovi,3,2
Alec John Such,1983,1993,bass,Bon Jovi,4,1
Alec John Such,1983,1993,voc,Bon Jovi,4,2
Hugh McDonald,1994,2017,bass,Bon Jovi,5,1
Hugh McDonald,1994,2017,voc,Bon Jovi,5,2
David Bryan,1983,2017,key,Bon Jovi,6,1
David Bryan,1983,2017,voc,Bon Jovi,6,2
Tico Torres,1983,2017,drums,Bon Jovi,7,1
Britney Spears,1992,2017,lvoc,Britney Spears,0,1
Bruce Springsteen,1972,2017,guitar,Bruce Springsteen,0,1
Bruce Springsteen,1972,2017,voc,Bruce Springsteen,0,2
Bruno Mars,2007,2017,lvoc,Bruno Mars,0,1
Bryan Adams,1976,2017,lvoc,Bryan Adams,0,1
Celine Dion.1981,2017,lvoc,Celine Dion,0,1
Cher,1963,2017,lvoc,Cher,0,1
Chris Martin,1996,2017,lvoc,Coldplay,0,1
Jonny Buckland,1996,2017,guitar,Coldplay,1,1
Jonny Buckland,1996,2017,voc,Coldplay,1,2
Guy Berrymen,1996,2017,bass,Coldplay,2,1
Will Champion,1996,2017,drums,Coldplay,3,1
Guy Berrymen,1996,2017,voc,Coldplay,2,2
Will Champion,1996,2017,voc,Coldplay,3,2
David Bowie.1962,2016,lvoc,David Bowie,0,1
Joe Elliott,1977,2017,lvoc,Def Leppard,0,1
Rick Savage,1977,2017,bass,Def Leppard,1,1
Rick Savage,1977,2017,voc,Def Leppard,1,2
Rick Allan,1978,2017,drums,Def Leppard,2,1
Rick Allan,1978,2017,voc,Def Leppard,2,2
Phil Collen,1982,2017,guitar,Def Leppard,3,1
Phil Collen,1982,2017,voc,Def Leppard,3,2
Vivian Campbell,1992,2017,guitar,Def Leppard,4,1
Vivian Campbell,1992,2017,voc,Def Leppard,4,2
Tony Kenning,1977,1978,drums,Def Leppard,5,1
Pete Willis,1977,1982,guitar,Def Leppard,6,1
Pete Willis,1977,1982,voc,Def Leppard,6,2
Steve Clark,1978,1991,guitar,Def Leppard,7,1
Steve Clark,1978,1991,voc,Def Leppard,7,2
Mark Knopfler,1977,1995,guitar,Dire Straits,0,1
Mark Knopfler,1977,1995,voc,Dire Straits,0,2
John Illsley,1977,1995,bass,Dire Straits,1,1
John Illsley,1977,1995,voc,Dire Straits,1,2
Pick Withers,1977,1982,drums,Dire Straits,2,1
David Knopfler,1977,1980,guitar,Dire Straits,3,1
David Knopfler,1977,1980,voc,Dire Straits,3,2
Alan Clark,1980,1995,key,Dire Straits,4,1
Hai Lindes,1980,1985,guitar,Dire Straits,5,1
Terry Williams,1982,1984,drums,Dire Straits,6,1
Terry Williams,1985,1989,drums,Dire Straits,6,2
Guy Fletcher,1984,1995,key,Dire Straits,7,1
Guy Fletcher,1984,1995,voc,Dire Straits,7,2
Jack Sonni,1985,1988,guitar,Dire Straits,8,1
Chris White,1985,1995,sax,Dire Straits,9,1
Chris Whitten,1991,1992,drums,Dire Straits,10,1
Donna Summer,1968,2012,lvoc,Donna Summer,0,1
Elton John,1963,2017,lvoc,Elton John,0,1
Elvis Presley,1953,1977,lvoc,Elvis Presley,0,1
Eminem,1988,2017,lvoc,Eminem,0,1
Enya,1980,2017,lvoc,Enya,0,1
Flo Rida,2000,2017,lvoc,Flo Rida,0,1
Frank Sinatra,1935,1995,lvoc,Frank Sinatra,0,1
Garth Brooks,1989,2001,lvoc,Garth Brooks,0,1
Garth Brooks,2006,2007,lvoc,Garth Brooks,0,2
Peter Gabriel,1967,1975,flute,Genenis,0,1
Peter Gabriel,1967,1975,voc,Genenis,0,2
Tony Banks,1967,1998,key,Genesis,1,1
Tony Banks,1967,1998,voc,Genesis,1,2
Tony Banks.2007,2008,key,Genesis,1,3
Tony Banks,2007,2008,voc,Genesis,1,4
Phil Collins,1970,1996,drums,Genesis,2,1
Phil Collins,1970,1996,voc,Genesis,2,2
Phil Collins,2007,2008,key,Genesis,2,3
Phil Collins,2007,2008,voc,Genesis,2,4
Steve Hackett,1970,1977,guitar,3,1
John Mayhew,1970,1971,drums,Genesis,4,1
John Mayhew,1970,1971,voc,Genesis,4,2
Anthony Phillips,1967,1970,guitar,Genesis,5,1
Anthony Phillips,1967,1970,voc,Genesis,5,2
Mike Rutherford,1967,1998,bass,Genesis,6,1
Mike Rutherford,1967,1998,voc,Genesis,6,2
Mike Rutherford,2007,2008,guitar,Genesis,6,3
Mike Rutherford,2007,2008,voc,Genesis,6,4
Jonathan Silver,1967,1969,drums,Genesis,7,1
Chris Steward,1967,1968,drums,Genesis,8,1
Ray Wilson,1996,1998,lvoc,Genesis,9,1
George Michael,1981,2016,lvoc,George Michael,0,1
George Strait,1976,2017,guitar,George Strait,0,1
George Strait,1976,2017,voc,George Strait,0,2
James Taylor,1968,2017,lvoc,James Taylor,0,1
Janet Jackson,1982,2017,lvoc,Janet Jackson,0,2
Jay Z,1992,2017,lvoc,Jay Z,0,1
Johnny Cash,1955,2013,guitar,Johnny Cash,0,1
Johnny Cash,1955,2013,voc,Johnny Cash,0,2
Johnny Hallyday,1958,2017,lvoc,Johnny Hallyday,0,1
Julio Iglesias,1968,2017,lvoc,Julio Iglesias,0,1
Justin Bieber,2009,2017,lvoc,Justin Bieber,0,1
Kanye West,1996,2017,lvoc,Kanye West,0,1
Katy Perry,2001,2017,lvoc,Katy Perry,0,1
Kenny G,1982,2017,lvoc,Kenny G,0,1
Kenny Rogers,1958,2016,lvoc,Kenny Rogers,0,1
Lady Gaga,2005,2017,lvoc,Lady Gaga,0,1
Lil Wayne, 1998,2017,lvoc,Lil Wayne,0,1
Linda Ronstadt,1964,2017,lvoc,Linda Ronstadt,0,1
Lionel Richie,1968,2017,lvoc,Lionel Richie,0,1
Madonna,1979,2017,lvoc,Madonna,0,1
Mariah Carey,1988,2017,lvoc,Mariah Carey,0,1
Marvin Lee Aday,1968,2013,lvoc,Meatloaf,0,1
Michael Jackson,1968,2009,lvoc,Michael Jackson,0,1
Neil Diamond,1958,2017,guitar,Neil Diamond,0,1
Neil Diamond,1958,2017,voc,Neil Diamond,0,2
Maurice White,1969,1984,drums,Earth Wind & Fire,0,1
Maurice White,1969,1984,voc,Earth Wind & Fire,0,2
Maurice White,1987,2016,drums,Earth Wind & Fire,0,3
Maurice White,1987,2016,voc,Earth Wind & Fire,0,4
Sherry Scott,1969,1972,lvoc,Earth Wind & Fire,1,1
Philip Bailey,1972,1984,trompet,Earth Wind & Fire,2,1
Philip Bailey,1972,1984,voc,Earth Wind & Fire,2,1
Philip Bailey,1987,2017,trompet,Earth Wind & Fire,2,2
Philip Bailey,1987,2017,voc,Earth Wind & Fire,2,3
Jessica Cleaves,1972,1974,lvoc,Earth Wind & Fire,3,1
Kimberley Brewer,2002,2004,lvoc,Earth Wind & Fire,4,1
Krystal Bailey,2002,2003,lvoc,Earth Wind & Fire,5,1
Kim Johnson,2002,2012,lvoc,Earth Wind & Fire,6,1
Philip Bailey Jr.,2008,2017,lvoc,Earth Wind & Fire,7,1
Leslie Drayton,1969,1972,trompet,Earth Wind & Fire,8,1
Alexander Thomas,1969,1972,trombone,Earth Wind & Fire,9,1
Chester Washington,1969,1972,sax,Earth Wind & Fire,10,1
Micheal Beal,1969,1972,guitar,Earth Wind & Fire,11,1
Ronnie Laws,1972,1973,sax,Earth Wind & Fire,12,1
Andrew Woolfolk,1973,1984,sax,Earth Wind & Fire,13,1
Andrew Woolfolk,1987,1994,sax,Earth Wind & Fire,13,2
Roland Bautista,1972,1973,guitar,Earth Wind & Fire,14,1
Roland Bautista,1982,1984,guitar,Earth Wind & Fire,14,2
Roland Bautista,1982,1984,voc,Earth Wind & Fire,14,3
Johnny Graham,1973,1984,guitar,Earth Wind & Fire,15,1
Al Mckay,1973,1982,guitar,Earth Wind & Fire.16,1
Al Mckay,1973,1982,voc,Earth Wind & Fire.16,2
Sheldon Reynolds,1987,2003,guitar,Earth Wind & Fire,17,1
Sheldon Reynolds,1987,2003,voc,Earth Wind & Fire,17,2
Dick Smith,1987,1992,guitar,Earth Wind & Fire,18,1
Dick Smith,1987,1992,voc,Earth Wind & Fire,18,2
Bobby Gonzales,2002,2003,guitar,Earth Wind & Fire,19,1
Bobby Gonzales,2002,2003,voc,Earth Wind & Fire,19,2
John Johnson,2002,2004,guitar,Earth Wind & Fire,20,1
John Johnson,2002,2004,voc,Earth Wind & Fire,20,2
Greg G-Mo More,2004,2007,guitar,Earth Wind & Fire,21,1
Greg G-Mo More,2007,2012,guitar,Earth Wind & Fire,21,2
Greg G-Mo More,2007,2012,voc,Earth Wind & Fire,21,3
Vadim Zilberstein,2004,2007,guitar,Earth Wind & Fire,22,1
Vadim Zilberstein,2004,2007,voc,Earth Wind & Fire,22,2
Morris O Connor,2007,2017,guitar,Earth Wind & Fire,23,1
Serg Dimitrijevic,2012,2017,guitar,Earth Wind & Fire,24,1
Serg Dimitrijevic,2012,2017,voc,Earth Wind & Fire,24,2
Wade Flemons,1969,1972,key,Earth Wind & Fire,25,1
Wade Flemons,1969,1972,voc,Earth Wind & Fire,25,2
Don Whitehead,1969,1972,key,Earth Wind & Fire,26,1
Don Whitehead,1969,1972,voc,Earth Wind & Fire,26,2
Larry Dunn,1972,1984,key,Earth Wind & Fire,27,1
Larry Dunn,1972,1984,flute2,Earth Wind & Fire,27,2
Vance Taylor,1987,1993,key,Earth Wind & Fire,28,1
Vance Taylor,1987,1993,flute2,Earth Wind & Fire,28,2
Fred Ravel,1993,2001,key,Earth Wind & Fire,29,1
Fred Ravel,1993,2001,bass2,Earth Wind & Fire,29,2
Morris Pleasure,1994,1999,key,Earth Wind & Fire,30,1
Morris Pleasure,1994,1999,bass2,Earth Wind & Fire,30,2
Mike Mcknight,1996,1999,key,Earth Wind & Fire,31,1
Robert Brookins,1998,2004,key,Earth Wind & Fire,32,1
Robert Brookins,1998,2004,flute2,Earth Wind & Fire,32,1
Myro Mckinley,2002,2017,key,Earth Wind & Fire,33,1
Myro Mckinley,2002,2017,flute2,Earth Wind & Fire,33,2
Verdine White,1969,1984,bass,Earth Wind & Fire,34,1
Verdine White,1973,1984,voc,Earth Wind & Fire,34,2
Verdine White,1997,2017,bass,Earth Wind & Fire,34,3
Ralph Johnson,1972,1984,drums,Earth Wind & Fire,35,1
Ralph Johnson,1974,1984,voc,Earth Wind & Fire,35,2
Ralph Johnson,1987,2017,drums,Earth Wind & Fire,35,2
Ralph Johnson,1987,2017,voc,Earth Wind & Fire,35,3
Fred White,1974,1984,drums,Earth Wind & fire,36,1
Fred White,1974,1984,percussion,Earth Wind & fire,36,2
Sonny Emory,1987,1999,drums,Earth Wind & Fire,37,1
Sonny Emory,1987,1999,voc,Earth Wind & Fire,37,2
Gordon Campbell,1999,2002,drums,Earth Wind & Fire,38,1
John Paris,2002,2017,drums,Earth Wind & Fire,39,1
Yackov Bon Isreal,1969,1972,percussion,Earth Wind & Fire,40,1
Beloyd Taylor,1982,1983,percussion,Earth Wind & Fire,41,1
David Romero,1994,1999,percussion,Earth Wind & Fire,42,1
B. David Withworth,1996,2017,percussion,Earth Wind & Fire,43,1
B. David Withworth,1996,2017,voc,Earth Wind & Fire,43,2
Daniel de los Reyes,2001,2004,percussion,Earth Wind & Fire,44,1
Paul Stanley,1973,2017,guitar,Kiss,0,1
Paul Stanley,1973,2017,voc,Kiss,0,2
Gene Simmons,1973,2017,bass,Kiss,1,1
Gene Simmons,1973,2017,voc,Kiss,1,2
Eric Singer,1991,1996,drums,Kiss,2,1
Eric Singer,1991,1996,voc,Kiss,2,2
Eric Singer,2001,2002,drums,Kiss,2,3
Eric Singer,2001,2002,voc,Kiss,2,4
Eric Singer,2004,2017,drums,Kiss,2,5
Eric Singer,2004,2017,voc,Kiss,2,4
Tommy Thayer,2002,2017,guitar,Kiss,3,1
Tommy Thayer,2002,2017,voc,Kiss,3,1
Ace Frehley,1973,1982,guitar,Kiss,4,1
Ace Frehley,1973,1982,voc,Kiss,4,2
Ace Frehley,1996,2002,guitar,Kiss,4,3
Ace Frehley,1996,2002,voc,Kiss,4,3
Peter Criss,1973,1980,drums,Kiss,5,1
Peter Criss,1973,1980,voc,Kiss,5,2
Peter Criss,1996,2000,drums,Kiss,5,3
Peter Criss,1996,2000,voc,Kiss,5,4
Peter Criss,2000,2002,guitar,Kiss,5,5
Peter Criss,2002,2002,voc,Kiss,5,6
Eric Carr,1980,1991,drums,Kiss,6,1
Eric Carr,1980,1991,voc,Kiss,6,2
Vinnie Vincent,1982,1984,guitar,Kiss,7,1
Vinnie Vincent,1982,1984,voc,Kiss,7,2
Mark St. John,1984,1985,guitar,Kiss,8,1
Mark St. John,1984,1985,voc,Kiss,8,2
Bruce Kulick,1984,1996,guitar,Kiss,9,1
Bruce Kulick,1984,1996,voc,Kiss,9,2
Kurt Cobain,1987,1994,guitar,Nirvana,0,1
Kurt Cobain,1987,1994,voc,Nirvana,0,1
Krist Novoselic,1987,1994,bass,Nirvana,1,1
Dave Grohl,1990,1994,drums,Nirvana,2,1
Dave Grohl,1990,1994,voc,Nirvana,2,2
Pat Smear,1993,1994,guitar,Nirvana,3,1
Aaron Burckhard,1987,1988,drums,Nirvana,4,1
Dale Crover,1988,1990,drums,Nirvana,5,1
Dave Foster,1988,1989,drums,6,1
Chad Channing,1988,1990,drums,Nirvana,7,1
Dan Peters,1990,1991,drums,Nirvana,8,1
Jason Everman,1989,1990,guitar,Nirvana,9,1
Olivia Newton-John,1963,2017,lvoc,Olivia Newton-John,0,1
Paul McCartney,1957,2017,Paul McCartney,0,1
Phil Collins,1968,2011,lvoc,Phil Collins,0,1
Phil Collins,2015,2017,lvoc,Phil Collins,0,2
Prince,1976,2016,lvoc,Prince,0,1
Reba McEntire,1975,2017,lvoc,Reba McEntire,0,1
Rihanna,2003,2017,lvoc,Rihanna,0,1
Robbie Williams,1990,2017,lvoc,Robbie Williams,0,1
Rod Stewart,1961,2017,lvoc,Rod Stewart,0,1
Shania Twain,1983,2017,lvoc,Shania Twain,0,1
Stevie Wonder,1961,2017,lvoc,Stevie Wonder,0,1
Taylor Swift,2004,2017,lvoc,Taylor Swift,0,1
Will.i.am,1995,2017,piano,The Black Eyed Peas,0,1
Will.i.am,1995,2017,voc,The Black Eyed Peas,0,2
Apl.de.ap,1995,2017,drums,The Black Eyed Peas,1,1
Apl.de.ap,1995,2017,voc,The Black Eyed Peas,1,2
Taboo,1995,2017,lvoc,The Black Eyed Peas,2,1
Fergie,2002,2017,lvoc,The Black Eyed Peas,3,1
Dante Santiago,1995,1996,lvoc,The Black Eyed Peas,4,1
Kim Hill,1995,2000,lvoc,The Black Eyed Peas,5,1
Sierra Swan,1998,2000,lvoc,The Black Eyed Peas,6,1
Jim Morrison,1965,1971,lvoc,The Doors,0,1
Robby Krieger,1965,2017,guitar,The Doors,1,1
Robby Krieger,1971,2017,voc,The Doors,1,1
John Densmore,1965,2017,drums,The Doors,2,1
Ray Manzarek,1965,2017,key,The Doors,3,1
Ray Manzarek,1971,2017,voc,The Doors,3,2
Brian Wilson,1961,1973,bass,The Beach Boys,0,1
Brian Wilson,1961,1973,voc,The Beach Boys,0,2
Brian Wilson,1973,1996,bass,The Beach Boys,0,3
Brian Wilson,1973,1996,voc,The Beach Boys,0,4
Brian Wilson,2012,2017,bass,The Beach Boys,0,5
Brian Wilson,2012,2017,voc,The Beach Boys,0,5
Al Jardine,1961,1962,guitar,The Beach Boys,1,1
Al Jardine,1961,1962,voc,The Beach Boys,1,2
Al Jardine,1963,1998,guitar,The Beach Boys,1,3
Al Jardine,1963,1998,voc,The Beach Boys,1,4
Al Jardine,2012,2017,guitar,The Beach Boys,1,5
Al Jardine,2012,2017,voc,The Beach Boys,1,5
Mike Love,1961,2017,lvoc,The Beach Boys,2,1
Bruce Johnston,1965,1972,key,The Beach Boys,3,1
Bruce Johnston,1965,1972,voc,The Beach Boys,3,2
Bruce Johnston,1979,2017,key,The Beach Boys,4,1
Bruce Johnston,1979,2017,voc,The Beach Boys,4,2
David Marks,1961,1963,guitar,The Beach Boys,5,1
David Marks,1961,1963,voc,The Beach Boys,5,2
David Marks,1997,1999,guitar,The Beach Boys,5,3
David Marks,1997,1999,voc,The Beach Boys,5,4
David Marks,2012,2017,guitar,The Beach Boys,5,5
David Marks,2012,2017,voc,The Beach Boys,5,6
Carl Wilson,1961,1981,guitar,The Beach Boys,6,1
Carl Wilson,1961,1981,voc,The Beach Boys,6,2
Carl Wilson,1982,1998,guitar,The Beach Boys,6,3
Carl Wilson,1982,1998,voc,The Beach Boys,6,4
Dennis Wilson,1961,1983,drums,The Beach Boys,7,1
Dennis Wilson,1961,1983,voc,The Beach Boys,7,2
Blondie Chaplin,1972,1973,bass,The Beach Boys,8,1
Blondie Chaplin,1972,1973,voc,The Beach Boys,8,2
Ricky Fataar,1972,1974,drums,The Beach Boys,8,3
Ricky Fataar,1972,1974,voc,The Beach Boys,8,4
Axl Rose,1985,2017,lvoc,Guns N Roses,0,1
Slash,1985,1997,guitar,Guns N Roses,1,1
Slash,1985,1997,voc,Guns N Roses,1,2
Slash,2016,2017,guitar,Guns N Roses,1,3
Slash,2016,2017,voc,Guns N Roses,1,3
Duff McKagan,1985,1997,bass,Guns N Roses,2,1
Duff McKagan,1985,1997,voc,Guns N Roses,2,2
Duff McKagan,2016,2017,bass,Guns N Roses,2,3
