bar,start,2017,id,band,lanenr,number
Andy Summers,2003,2004,voc,The Police,1,4
Andy Summers,2007,2008,guitar,The Police,1,5
Andy Summers,2007,2008,voc,The Police,1,6
Henry Padovani,1977,1978,guitar,The Police,2,1
Stewart Copeland,1977,1986,drums & key,The Police,3,1
Stewart Copeland,1977,1986,voc,The Police,3,2
Stewart Copeland,2003,2004,drums & key,The Police,3,3
Stewart Copeland,2003,2004,voc,The Police,3,4
Stewart Copeland,2007,2008,drums & key,The Police,3,5
Stewart Copeland,2007,2008,voc,The Police,3,6
Neal Schon,1973,2017,guitar,Journey,0,1
Ross Valory,1973,1985,bass,Journey,1,1
Ross Valory,1995,2017,bass,Journey,1,2
Steve Smith,1978,1985,drums,Journey,2,1
Steve Smith,1995,1998,drums,Journey,2,2
Steve Smith,2015,2017,drums,Journey,2,3
Jonathan Cain,1980,2017,key,Journey,3,1
Arnel Pineda,2007,2017,lvoc,Journey,4,1
Gregg Rolie,1973,1980,key,Journey,5,1
Gregg Rolie,1973,1980,voc,Journey,5,2
George Tickner,1973,1975,guitar,Journey,6,1
Aynsley Dunbar,1974,1978,drums,Journey,7,1
Robert Fleischman,1977,1978,lvoc,Journey,8,1
Steve Perry,1977,1998,lvoc,Journey,9,1
Randy Jackson,1986,1987,bass,Journey,10,1
Mike Baird,1986,1987,drums,Journey,11,1
Steve Augeri,1998,2006,lvoc,Journey,12,1
Jeff Scott Soto,2006,2007,lvoc,Journey,13,1
Deen Castronovo,1998,2015,drums,Journey,14,1
Roger Daltrey,1964,2017,guitar,The Who,0,1
Roger Daltrey,1964,2017,voc,The Who,0,2
Pete Townshend,1964,2017,guitar,The Who,1,1
Pete Townshend,1964,2017,voc,The Who,1,2
John Entwistle,1964,2002,bass,The Who,2,1
John Entwistle,1964,2002,voc,The Who,2,2
Doug Sandom,1964,1965,drums,The Who,3,1
Keith Moon,1964,1978,drums,The Who,4,1
Keith Moon,1964,1978,voc,The Who,4,2
Kenney Jones,1978,1988,drums,The Who,5,1
Mick Jones,1976,2017,guitar,Foreigner,0,1
Mick Jones,1976,2017,voc,Foreigner,0,2
Thom Gimbel,1992,1993,guitar & key & sax,Foreigner,1,1
Thom Gimbel,1992,1993,voc,Foreigner,1,2
Thom Gimbel,1995,2017,guitar & key & sax,Foreigner,1,3
Thom Gimbel,1995,2017,voc,Foreigner,1,4
Jeff Pilson,2004,2017,bass,Foreigner,2,1
Jeff Pilson,2004,2017,voc,Foreigner,2,2
Kelly Hansen,2005,2017,percussion,Foreigner,3,1
Kelly Hansen,2005,2017,voc,Foreigner,3,2
Michael Bluestein,2008,2017,key,Foreigner,4,1
Michael Bluestein,2008,2017,voc,Foreigner,4,2
Chris Frazier,2012,2017,drums,Foreigner,5,1
Bruce Watson,2011,2017,guitar,Foreigner,6,1
Dennis Elliot,1976,1992,drums,Foreigner,7,1
Dennis Elliot,1976,1992,voc,Foreigner,7,2
Lou Gramm,1976,1990,percussion,Foreigner,8,1
Lou Gramm,1976,1990,voc,Foreigner,8,2
Al Greenwood,1976,1980,key,Foreigner,9,1
Ian McDonald,1976,1980,guitar & key,Foreigner,10,1
Ian McDonald,1976,1980,voc,Foreigner,10,2
Ed Gagliadi,1976,1979,bass,Foreigner,11,1
Ed Gagliadi,1976,1979,voc,Foreigner,11,2
Rick Wills,1979,1992,bass,Foreigner,12,1
Rick Wills,1979,1992,voc,Foreigner,12,2
Jack Allen Smith,1986,1987,drums,Foreigner,13,1
Jack Allen Smith,1986,1987,voc,Foreigner,13,2
Johnny Edwards,1990,1992,guitar,Foreigner,14,1
Johnny Edwards,1990,1992,voc,Foreigner,14,2
Jeff Jacobs,1991,2007,key,Foreigner,15,1
Jeff Jacobs,1991,2007,voc,Foreigner,15,2
Mark Schulman,1992,1995,drums,Foreigner,16,1
Mark Schulman,1992,1995,voc,Foreigner,16,2
Mark Schulman,2000,2002,drums,Foreigner,16,3
Mark Schulman,2000,2002,voc,Foreigner,16,4
Mark Schulman,2011,2012,drums,Foreigner,16,5
Mark Schulman,2011,2012,voc,Foreigner,16,6
Bruce Turgon,1992,1995,bass,Foreigner,17,1
